policy,episodes,attempts,successes,useful,makespan_units,useful_per_hour,success_per_hour,failed_cost_units,zombie_rate,p95_latency_units,utilization
model_action_fifo,200,200,155,155,120.08369606919587,4646.759037783643,4646.759037783643,180.05163778861365,0.0,11.344401940703392,1.0
model_action_retry_only,200,245,158,158,149.92754222266376,3793.8326178605057,3793.8326178605057,338.40303256362677,0.00816326530612245,11.344401940703392,0.9613428527346901
model_action_failure_aware,200,200,155,200,120.08369606919587,5995.818113269216,4646.759037783643,180.05163778861365,0.0,11.344401940703392,1.0
